Index,GeoFips,2001,2002,2003,2004,2005,Average
131,23900,92591.0,93934.0,95503.0,97300.0,98606.0,95586.8
132,24020,124548.0,124926.0,125944.0,126854.0,127674.0,125989.2
133,24140,113934.0,114305.0,114595.0,116484.0,117009.0,115265.4
134,24220,96663.0,96367.0,96267.0,98164.0,97777.0,97047.6
135,24260,77308.0,77526.0,77941.0,78215.0,78140.0,77826.0
136,24300,119496.0,122440.0,124994.0,127678.0,130194.0,124960.4
137,24340,944552.0,952185.0,959259.0,965089.0,970713.0,958359.6
138,24420,76452.0,77712.0,78779.0,79729.0,80660.0,78666.4
139,24500,80055.0,79848.0,79633.0,80198.0,80041.0,79955.0
140,24540,192360.0,202234.0,208858.0,215322.0,222879.0,208330.6
141,24580,285783.0,288713.0,291169.0,294570.0,296800.0,291407.0
142,24660,652741.0,657855.0,663140.0,667711.0,677080.0,663705.4
143,24780,136605.0,139128.0,141610.0,144486.0,147929.0,141951.6
144,24860,735668.0,741131.0,747276.0,754196.0,763048.0,748263.8
145,25060,368163.0,370891.0,371296.0,379253.0,383412.0,374603.0
146,25180,211521.0,215706.0,221396.0,227681.0,234198.0,222100.4
147,25220,101657.0,102511.0,103782.0,105335.0,106987.0,104054.4
148,25260,132881.0,135369.0,139393.0,143601.0,145147.0,139278.2
149,25420,511391.0,515553.0,519152.0,521882.0,525775.0,518750.6
150,25500,110317.0,112152.0,113151.0,114542.0,116602.0,113352.8
151,25540,1158513.0,1169000.0,1179394.0,1182605.0,1187929.0,1175488.2
152,25620,125102.0,126193.0,127371.0,128966.0,130815.0,127689.4
153,25860,346952.0,348299.0,349472.0,351224.0,354159.0,350021.2
154,25940,146574.0,150392.0,152234.0,157787.0,163343.0,154066.0
155,25980,71939.0,73399.0,71252.0,74609.0,76395.0,73518.8
156,26140,121197.0,123491.0,126215.0,129840.0,133791.0,126906.8
157,26300,89032.0,89630.0,90483.0,91084.0,92096.0,90465.0
158,26380,195360.0,196692.0,198156.0,199363.0,200467.0,198007.6
159,26420,4817815.0,4937081.0,5036393.0,5132602.0,5233729.0,5031524.0
160,26580,360868.0,360609.0,361922.0,361774.0,361864.0,361407.4
161,26620,348453.0,354116.0,359920.0,365248.0,372777.0,360102.8
162,26820,106082.0,107768.0,109937.0,113168.0,116208.0,110632.6
163,26900,1687209.0,1708018.0,1729297.0,1750639.0,1772959.0,1729624.4
164,26980,134610.0,136056.0,137863.0,140149.0,141650.0,138065.6
165,27060,97458.0,98227.0,99049.0,99531.0,99433.0,98739.6
166,27100,159772.0,160893.0,162119.0,162140.0,163047.0,161594.2
167,27140,528292.0,530930.0,535600.0,542144.0,547444.0,536882.0
168,27180,123387.0,123890.0,123886.0,125351.0,126192.0,124541.2
169,27260,1148091.0,1171363.0,1193042.0,1222866.0,1249072.0,1196886.8
170,27340,151068.0,153397.0,150481.0,158837.0,157205.0,154197.6
171,27500,153174.0,153628.0,154268.0,155685.0,156761.0,154703.2
172,27620,140991.0,142190.0,143171.0,142637.0,144450.0,142687.8
173,27740,182187.0,183973.0,186040.0,187317.0,189182.0,185739.8
174,27780,150902.0,149831.0,148836.0,147886.0,146975.0,148886.0
175,27860,108774.0,109191.0,110177.0,111370.0,112570.0,110416.4
176,27900,158567.0,160092.0,162037.0,163997.0,166160.0,162170.6
177,27980,132428.0,134583.0,137596.0,140625.0,143448.0,137736.0
178,28020,316512.0,318714.0,320856.0,319746.0,320268.0,319219.2
179,28100,104490.0,104932.0,105794.0,106744.0,107917.0,105975.4
180,28140,1837551.0,1858778.0,1875142.0,1892097.0,1909428.0,1874599.2
181,28420,196420.0,202688.0,209043.0,213854.0,219086.0,208218.2
182,28660,336409.0,341231.0,342865.0,349745.0,357533.0,345556.6
183,28700,298648.0,299267.0,300370.0,300668.0,302519.0,300294.4
184,28740,178440.0,180128.0,180942.0,181847.0,182438.0,180759.0
185,28940,756459.0,763352.0,772111.0,780124.0,790669.0,772543.0
186,29020,84909.0,84563.0,84538.0,84291.0,84382.0,84536.6
187,29100,127624.0,128261.0,128780.0,128992.0,129549.0,128641.2
188,29180,426750.0,430358.0,432900.0,436018.0,439936.0,433192.4
189,29200,180706.0,181781.0,183621.0,184996.0,188023.0,183825.4
190,29340,193171.0,193321.0,194552.0,195444.0,196263.0,194550.2
191,29420,160312.0,166155.0,172633.0,180521.0,188773.0,173678.8
192,29460,492917.0,501469.0,513058.0,527685.0,547373.0,516500.4
193,29540,475483.0,480118.0,485119.0,489977.0,494722.0,485083.8
194,29620,452051.0,455420.0,458376.0,461724.0,462743.0,458062.8
195,29700,200347.0,206001.0,211786.0,217858.0,223703.0,211939.0
196,29740,176496.0,178464.0,182045.0,184939.0,189199.0,182228.6
197,29820,1460500.0,1522962.0,1584166.0,1662773.0,1729522.0,1591984.6
198,29940,101269.0,102552.0,103570.0,104826.0,105681.0,103579.6
199,30020,119955.0,119889.0,117484.0,122341.0,121475.0,120228.8
200,30140,120954.0,121698.0,123154.0,124644.0,126197.0,123329.4
201,30300,57446.0,57601.0,58183.0,58581.0,58979.0,58158.0
202,30340,104260.0,105063.0,106140.0,106867.0,107352.0,105936.4
203,30460,414520.0,418448.0,424953.0,430229.0,436898.0,425009.6
204,30620,108523.0,108518.0,107418.0,106826.0,106861.0,107629.2
205,30700,271237.0,274972.0,279194.0,281768.0,285469.0,278528.0
206,30780,618126.0,624166.0,631032.0,639558.0,648784.0,632333.2
207,30860,104294.0,107180.0,108819.0,110813.0,112580.0,108737.2
208,30980,195374.0,197750.0,199547.0,201231.0,203062.0,199392.8
209,31020,93608.0,94325.0,94516.0,95541.0,96536.0,94905.2
210,31080,12511491.0,12614158.0,12696521.0,12734974.0,12726428.0,12656714.4
211,31140,1132204.0,1140281.0,1151726.0,1161921.0,1172611.0,1151748.6
212,31180,260015.0,262680.0,266338.0,268466.0,270478.0,265595.4
213,31340,229499.0,230356.0,232634.0,234574.0,238515.0,233115.6
214,31420,222869.0,224661.0,225987.0,227394.0,228125.0,225807.2
215,31460,125581.0,128369.0,132738.0,137106.0,140313.0,132821.4
216,31540,544773.0,552305.0,559138.0,566363.0,573036.0,559123.0
217,31700,387414.0,389665.0,391461.0,394428.0,396381.0,391869.8
218,31740,81374.0,81205.0,81847.0,83411.0,84195.0,82406.4
219,31860,87105.0,88107.0,89336.0,90152.0,91111.0,89162.2
220,31900,128187.0,128363.0,128312.0,128094.0,127724.0,128136.0
221,32580,590067.0,610520.0,632475.0,653779.0,674982.0,632364.6
222,32780,183835.0,186704.0,189838.0,192185.0,194701.0,189452.6
223,32820,1224627.0,1235125.0,1247414.0,1258948.0,1271965.0,1247615.8
224,32900,218816.0,225351.0,231735.0,237180.0,242554.0,231127.2
225,33100,5110780.0,5197205.0,5261713.0,5336368.0,5411148.0,5263442.8
226,33140,110077.0,109555.0,109027.0,108914.0,109541.0,109422.8
227,33220,83576.0,83664.0,84012.0,84058.0,83930.0,83848.0
228,33260,120877.0,122371.0,123717.0,125144.0,126963.0,123814.4
229,33340,1507257.0,1514251.0,1519746.0,1522302.0,1522391.0,1517189.4
230,33460,3086645.0,3116197.0,3143413.0,3171902.0,3199046.0,3143440.6
231,33540,97435.0,98968.0,99976.0,100934.0,102298.0,99922.2
