ID Code,FIPS,U.S. Regional Title,Patents 2001,Patents 2002,Patents 2003,Patents 2004,Patents 2005,Average Patents,Population 2000,Population 2006,Average Population,,AVG. PATENT INTENSITY,LN PATENT INTENSITY,AVG. GDP/CAPITA,LN AVG. GDP/CAPITA
117780,17780,"College Station-Bryan, TX",46,63,51,46,37,48.6,111006,196734,153870,,31.58510431,3.452685627,30925.8,10.33934607
117820,17820,"Colorado Springs, CO",278,264,309,281,252,276.8,251662,600444,426053,,64.96844289,4.173901658,39816.4,10.59203417
117860,17860,"Columbia, MO",32,27,30,24,19,26.4,479198,157193,318195.5,,8.296786095,2.115868222,41181.2,10.62573712
117900,17900,"Columbia, SC",76,58,63,67,48,62.4,226778,701464,464121,,13.44476979,2.598590167,41645,10.63693659
117980,17980,"Columbus, GA-AL",6,12,14,21,10,12.6,373638,290319,331978.5,,3.795426511,1.333796792,39744.6,10.59022926
118020,18020,"Columbus, IN",51,47,52,42,39,46.2,1100491,74444,587467.5,,7.864264832,2.062329059,57736.6,10.96364657
118140,18140,"Columbus, OH",361,355,345,386,256,340.6,1170111,1725570,1447840.5,,23.52469074,3.158050539,51169.8,10.84290479
118580,18580,"Corpus Christi, TX",31,23,21,22,17,22.8,1135614,414379,774996.5,,2.94194877,1.079072209,41492.6,10.63327038
118700,18700,"Corvallis, OR",155,198,211,247,259,214,1499293,79061,789177,,27.11685718,3.300155571,60876.2,11.01659757
118880,18880,"Crestview-Fort Walton Beach-Destin, FL",30,27,16,13,9,19,237132,79061,158096.5,,12.01797636,2.486403559,47626.4,10.77114251
119060,19060,"Cumberland, MD-WV",7,4,0,2,4,3.4,84088,99759,91923.5,,3.698727746,1.307988908,26314.2,10.177864
119100,19100,"Dallas-Fort Worth-Arlington, TX",2130,1926,1884,1959,1685,1916.8,217858,6006094,3111976,,61.59430535,4.120569421,58180.6,10.97130724
119140,19140,"Dalton, GA",10,14,13,11,9,11.4,996512,134397,565454.5,,2.016077332,0.701153709,36617.2,10.50827335
119180,19180,"Danville, IL",9,3,6,2,5,5,174706,81941,128323.5,,3.896402452,1.360053679,30639,10.33002899
119340,19340,"Davenport-Moline-Rock Island, IA-IL",70,74,84,80,45,70.6,97478,379853,238665.5,,29.58115019,3.38713734,46230,10.74138422
119380,19380,"Dayton, OH",259,288,288,238,171,248.8,1979202,838940,1409071,,17.65702367,2.871133646,43278.4,10.67540894
119460,19460,"Decatur, AL",12,15,11,13,5,11.2,2265223,149549,1207386,,0.927623809,-0.075129007,32246.6,10.38116789
119500,19500,"Decatur, IL",17,22,22,18,17,19.2,196629,109309,152969,,12.55156273,2.529845179,51600.2,10.85128083
119660,19660,"Deltona-Daytona Beach-Ormond Beach, FL",52,51,51,44,37,47,1607486,496575,1052030.5,,4.467551083,1.496840402,22377.2,10.01579786
119740,19740,"Denver-Aurora-Broomfield, CO",606,577,596,541,492,562.4,602894,2408622,1505758,,37.34995929,3.620331822,59916,11.00069886
119780,19780,"Des Moines-West Des Moines, IA",188,116,147,143,140,146.8,1540157,532425,1036291,,14.16590514,2.650838031,64220.6,11.07007931
119820,19820,"Detroit-Warren-Livonia, MI",2239,2230,2255,2214,2018,2191.2,129144,4468966,2299055,,95.30872467,4.557121356,47043.2,10.75882161
120020,20020,"Dothan, AL",9,5,4,6,4,5.6,284539,138234,211386.5,,2.649175799,0.974248572,30764.4,10.33411346
120100,20100,"Dover, DE",8,9,11,7,6,8.2,403070,147601,275335.5,,2.978184796,1.091313986,37081.6,10.52087617
120220,20220,"Dubuque, IA",28,18,14,8,16,16.8,333055,92384,212719.5,,7.897724468,2.066574676,46968.2,10.75722606
120260,20260,"Duluth, MN-WI",10,25,26,18,12,18.2,196629,275559,236094,,7.708793955,2.042361749,36839.4,10.5143232
120500,20500,"Durham-Chapel Hill, NC",364,328,369,312,295,333.6,5819100,464389,3141744.5,,10.61830458,2.362579359,76815.8,11.24916563
120740,20740,"Eau Claire, WI",34,29,32,45,40,36,447728,155041,301384.5,,11.9448744,2.480302266,39422,10.58207932
120940,20940,"El Centro, CA",4,4,4,2,2,3.2,153172,160301,156736.5,,2.04164314,0.713754944,27321.8,10.2154402
121340,21340,"El Paso, TX",32,46,45,51,36,42,183577,736310,459943.5,,9.131556376,2.211736148,30548.6,10.32707414
121060,21060,"Elizabethtown, KY",7,10,14,8,4,8.6,147635,109602,128618.5,,6.686440909,1.900081731,34921.2,10.46084937
121140,21140,"Elkhart-Goshen, IN",47,39,43,53,47,45.8,152307,198105,175206,,26.14065728,3.263491853,50332,10.82639634
121300,21300,"Elmira, NY",78,76,84,75,51,72.8,1183110,88641,635875.5,,11.44878203,2.437883352,34071,10.43620186
121500,21500,"Erie, PA",97,86,73,60,64,76,922516,279811,601163.5,,12.64215143,2.537036582,34837.4,10.4584468
121660,21660,"Eugene-Springfield, OR",75,66,71,43,56,62.2,80357,337870,209113.5,,29.74461238,3.392648019,33938.8,10.43231418
121780,21780,"Evansville, IN-KY",38,65,44,57,52,51.2,962441,350172,656306.5,,7.801233113,2.054281813,49314.8,10.80597952
121820,21820,"Fairbanks, AK",6,2,2,2,2,2.8,213517,86754,150135.5,,1.864981966,0.623251383,53264,10.88301596
122020,22020,"Fargo, ND-MN",40,30,21,17,30,27.6,312952,186561,249756.5,,11.05076344,2.402499515,55074.4,10.91644028
122140,22140,"Farmington, NM",7,5,9,6,3,6,265559,126473,196016,,3.060974614,1.118733367,44348,10.69982289
