,Unnamed: 0,Unnamed: 0.1,Index,ID Code,U.S. Regional Title,2001,2002,2003,2004,2005,Average
140,248,248,248,125180,"Hagerstown-Martinsburg, MD-WV",16.0,27.0,21.0,12.0,10.0,248
141,358,358,358,125260,"Hanford-Corcoran, CA",1.0,2.0,2.0,3.0,0.0,358
142,96,96,96,125420,"Harrisburg-Carlisle, PA",114.0,123.0,114.0,142.0,93.0,96
143,324,324,324,125500,"Harrisonburg, VA",2.0,12.0,3.0,6.0,4.0,324
144,33,33,33,125540,"Hartford-West Hartford-East Hartford, CT",515.0,531.0,463.0,435.0,401.0,33
145,314,314,314,125620,"Hattiesburg, MS",11.0,6.0,8.0,5.0,7.0,314
146,128,128,128,125860,"Hickory-Lenoir-Morganton, NC",78.0,75.0,74.0,62.0,71.0,128
147,368,368,368,125980,"Hinesville-Fort Stewart, GA",1.0,1.0,0.0,0.0,1.0,368
148,85,85,85,126100,"Holland-Grand Haven, MI",165.0,178.0,146.0,129.0,128.0,85
149,147,147,147,126180,"Honolulu, HI",71.0,57.0,50.0,47.0,32.0,147
150,336,336,336,126300,"Hot Springs, AR",4.0,5.0,4.0,5.0,5.0,336
151,230,230,230,126380,"Houma-Bayou Cane-Thibodaux, LA",23.0,14.0,15.0,15.0,23.0,230
152,13,13,13,126420,"Houston-Sugar Land-Baytown, TX",1778.0,1734.0,1678.0,1628.0,1460.0,13
153,267,267,267,126580,"Huntington-Ashland, WV-KY-OH",14.0,19.0,11.0,9.0,6.0,267
154,92,92,92,126620,"Huntsville, AL",126.0,132.0,147.0,138.0,114.0,92
155,158,158,158,126820,"Idaho Falls, ID",38.0,44.0,35.0,39.0,43.0,158
156,35,35,35,126900,"Indianapolis-Carmel, IN",513.0,499.0,485.0,409.0,344.0,35
157,149,149,149,126980,"Iowa City, IA",70.0,53.0,47.0,38.0,34.0,149
158,108,108,108,127060,"Ithaca, NY",85.0,83.0,100.0,105.0,78.0,108
159,200,200,200,127100,"Jackson, MI",26.0,39.0,32.0,30.0,22.0,200
160,197,197,197,127140,"Jackson, MS",32.0,20.0,37.0,28.0,23.0,197
161,201,201,201,127180,"Jackson, TN",20.0,23.0,29.0,21.0,32.0,201
162,98,98,98,127260,"Jacksonville, FL",106.0,114.0,132.0,124.0,106.0,98
163,359,359,359,127340,"Jacksonville, NC",1.0,5.0,1.0,4.0,2.0,359
164,204,204,204,127500,"Janesville, WI",33.0,24.0,21.0,18.0,17.0,204
165,344,344,344,127620,"Jefferson City, MO",8.0,6.0,5.0,5.0,4.0,344
166,202,202,202,127740,"Johnson City, TN",28.0,47.0,33.0,15.0,19.0,202
167,299,299,299,127780,"Johnstown, PA",9.0,8.0,14.0,9.0,4.0,299
168,326,326,326,127860,"Jonesboro, AR",5.0,3.0,8.0,4.0,4.0,326
169,209,209,209,127900,"Joplin, MO",26.0,24.0,27.0,33.0,11.0,209
170,109,109,109,128020,"Kalamazoo-Portage, MI",113.0,104.0,103.0,101.0,111.0,109
171,279,279,279,128100,"Kankakee-Bradley, IL",10.0,10.0,7.0,10.0,21.0,279
172,44,44,44,128140,"Kansas City, MO-KS",230.0,308.0,298.0,321.0,286.0,44
173,131,131,131,128420,"Kennewick-Pasco-Richland, WA",56.0,65.0,93.0,74.0,64.0,131
174,249,249,249,128660,"Killeen-Temple-Fort Hood, TX",20.0,19.0,16.0,17.0,16.0,249
175,115,115,115,128700,"Kingsport-Bristol-Bristol, TN-VA",122.0,122.0,101.0,84.0,53.0,115
176,125,125,125,128740,"Kingston, NY",70.0,76.0,62.0,71.0,58.0,125
177,82,82,82,128940,"Knoxville, TN",183.0,174.0,167.0,140.0,123.0,82
178,148,148,148,129020,"Kokomo, IN",45.0,46.0,57.0,59.0,50.0,148
179,223,223,223,129100,"La Crosse, WI-MN",27.0,22.0,26.0,16.0,14.0,223
180,120,120,120,129140,"Lafayette, IN",75.0,85.0,80.0,65.0,69.0,120
181,155,155,155,129180,"Lafayette, LA",56.0,51.0,53.0,46.0,41.0,155
182,274,274,274,129340,"Lake Charles, LA",19.0,14.0,17.0,10.0,6.0,274
183,298,298,298,129420,"Lake Havasu City-Kingman, AZ",16.0,9.0,7.0,7.0,5.0,298
184,192,192,192,129460,"Lakeland-Winter Haven, FL",39.0,31.0,40.0,37.0,19.0,192
185,103,103,103,129540,"Lancaster, PA",114.0,92.0,124.0,134.0,102.0,103
186,121,121,121,129620,"Lansing-East Lansing, MI",79.0,104.0,88.0,56.0,71.0,121
187,367,367,367,129700,"Laredo, TX",1.0,3.0,0.0,1.0,1.0,367
188,264,264,264,129740,"Las Cruces, NM",16.0,11.0,9.0,8.0,9.0,264
189,70,70,70,129820,"Las Vegas-Paradise, NV",156.0,141.0,181.0,169.0,191.0,70
190,224,224,224,129940,"Lawrence, KS",10.0,30.0,18.0,11.0,16.0,224
191,365,365,365,130020,"Lawton, OK",2.0,2.0,2.0,3.0,1.0,365
192,269,269,269,130140,"Lebanon, PA",15.0,11.0,9.0,5.0,12.0,269
193,363,363,363,130300,"Lewiston, ID-WA",3.0,3.0,3.0,3.0,3.0,363
194,328,328,328,130340,"Lewiston-Auburn, ME",8.0,4.0,6.0,7.0,4.0,328
195,69,69,69,130460,"Lexington-Fayette, KY",203.0,179.0,170.0,155.0,134.0,69
196,342,342,342,130620,"Lima, OH",11.0,6.0,7.0,3.0,3.0,342
197,144,144,144,130700,"Lincoln, NE",64.0,62.0,46.0,52.0,51.0,144
198,153,153,153,130780,"Little Rock-North Little Rock-Conway, AR",73.0,48.0,37.0,37.0,49.0,153
199,160,160,160,130860,"Logan, UT-ID",42.0,32.0,35.0,34.0,45.0,160
200,233,233,233,130980,"Longview, TX",23.0,21.0,15.0,14.0,12.0,233
201,288,288,288,131020,"Longview, WA",12.0,8.0,6.0,6.0,9.0,288
202,3,3,3,131100,"Los Angeles-Long Beach-Santa Ana, CA",3995.0,3889.0,4057.0,3959.0,3674.0,3
203,89,89,89,131140,"Louisville/Jefferson County, KY-IN",148.0,120.0,152.0,168.0,116.0,89
204,206,206,206,131180,"Lubbock, TX",32.0,38.0,28.0,15.0,17.0,206
205,193,193,193,131340,"Lynchburg, VA",38.0,41.0,31.0,23.0,26.0,193
206,251,251,251,131420,"Macon, GA",13.0,16.0,16.0,19.0,12.0,251
207,311,311,311,131460,"Madera-Chowchilla, CA",5.0,4.0,3.0,9.0,8.0,311
208,56,56,56,131540,"Madison, WI",258.0,269.0,276.0,228.0,224.0,56
209,58,58,58,131700,"Manchester-Nashua, NH",257.0,278.0,304.0,283.0,230.0,58
210,250,250,250,131740,"Manhattan, KS",15.0,14.0,13.0,17.0,13.0,250
211,239,239,239,131860,"Mankato-North Mankato, MN",30.0,13.0,16.0,14.0,11.0,239
212,303,303,303,131900,"Mansfield, OH",6.0,7.0,10.0,7.0,6.0,303
213,353,353,353,132420,"Mayagüez, PR",3.0,1.0,5.0,4.0,3.0,353
214,319,319,319,132580,"McAllen-Edinburg-Mission, TX",6.0,6.0,9.0,7.0,3.0,319
215,241,241,241,132780,"Medford, OR",14.0,24.0,11.0,13.0,13.0,241
216,76,76,76,132820,"Memphis, TN-MS-AR",144.0,142.0,141.0,133.0,107.0,76
217,323,323,323,132900,"Merced, CA",9.0,8.0,5.0,9.0,7.0,323
218,20,20,20,133100,"Miami-Fort Lauderdale-Pompano Beach, FL",942.0,803.0,825.0,835.0,721.0,20
219,280,280,280,133140,"Michigan City-La Porte, IN",8.0,18.0,10.0,17.0,11.0,280
220,246,246,246,133260,"Midland, TX",16.0,11.0,8.0,12.0,10.0,246
221,31,31,31,133340,"Milwaukee-Waukesha-West Allis, WI",645.0,662.0,546.0,489.0,461.0,31
222,6,6,6,133460,"Minneapolis-St. Paul-Bloomington, MN-WI",2220.0,2330.0,2540.0,2285.0,1989.0,6
223,266,266,266,133540,"Missoula, MT",16.0,17.0,15.0,10.0,17.0,266
224,218,218,218,133660,"Mobile, AL",31.0,20.0,19.0,17.0,16.0,218
225,185,185,185,133700,"Modesto, CA",54.0,35.0,32.0,32.0,14.0,185
226,304,304,304,133740,"Monroe, LA",15.0,12.0,5.0,5.0,9.0,304
227,178,178,178,133780,"Monroe, MI",42.0,36.0,35.0,48.0,18.0,178
228,255,255,255,133860,"Montgomery, AL",17.0,21.0,15.0,18.0,14.0,255
229,242,242,242,134060,"Morgantown, WV",11.0,14.0,21.0,11.0,10.0,242
230,262,262,262,134100,"Morristown, TN",6.0,21.0,23.0,15.0,13.0,262
231,281,281,281,134580,"Mount Vernon-Anacortes, WA",15.0,10.0,6.0,10.0,10.0,281
232,316,316,316,134620,"Muncie, IN",7.0,7.0,6.0,9.0,9.0,316
